number,name,status
1,PEP Purpose and Guidelines,Active
3,“abi3t”: Stable ABI for Free-Threaded Builds,Accepted
9,A dedicated,Accepted
3,Emscripten Packaging,Accepted
4,Import Name Metadata,Accepted
3,A Python Installation Manager for Windows,Accepted
8,Unpacking in Comprehensions,Accepted
8,TypedDict with Typed Extra Items,Accepted
0,Improving measurability of Python packages with Software Bill-of-Materials,Accepted
3,PyModExport: A new entry point for C extension modules,Accepted
5,Organization of the Python community,Rejected
3,Uniform project URLs in core metadata,Accepted
4,Rename dist-info-metadata in the Simple API,Accepted
3,Making the Global Interpreter Lock Optional in CPython,Accepted
1,Syntactic formalization of f-strings,Accepted
9,Remove private dict version field added in PEP 509,Accepted
4,The Commons Governance Model,Rejected
6,Merging Unladen Swallow into CPython,Withdrawn
3,The External Council Governance Model,Rejected
1,Python Governance Model Lead by Trio of Pythonistas,Rejected
2,The Community Governance Model,Rejected
0,The Technical Leader Governance Model,Rejected
3,Asynchronous IO support,Superseded
0,"str(container) should call str(item), not repr(item)",Rejected
2,Cofunctions,Rejected
3,Introducing Roles,Rejected
2,Add a “while” clause to generator expressions,Rejected
9,Cleaning out sys and the “interpreter” module,Rejected
6,Labeled break and continue,Rejected
5,Asynchronous I/O For subprocess.Popen,Withdrawn
8,BList: A Faster List-like Type,Rejected
0,Access to Current Module/Class/Function,Rejected
6,Remove Implicit String Concatenation,Rejected
6,Mixed sync/async context managers with precise async marking,Rejected
5,Make zlib required to build CPython,Withdrawn
5,Remove Backslash Continuation,Rejected
2,Delineation of the main module,Rejected
7,Postfix type declarations,Rejected
1,Procedure for reviewing and improving standard library modules,Withdrawn
3,A Switch/Case Statement,Rejected
6,Add PyUnicode_Export() and PyUnicode_Import() C functions,Withdrawn
6,Calendar versioning for Python,Rejected
9,"Add a ‘default’ keyword argument to ‘attrgetter’, ‘itemgetter’ and ‘getitem’",Rejected
6,Shorthand syntax for keyword arguments at invocation,Rejected
3,Limiting deletions on PyPI,Withdrawn
0,No More Bare Excepts,Withdrawn
9,External Wheel Hosting,Withdrawn
6,Module,Rejected
4,IEEE 754 Floating Point Special Values,Rejected
3,Add Py_OMIT_LEGACY_API to the Python C API,Rejected
7,Documentation in Annotated Metadata,Withdrawn
4,Stricter Type Guards,Withdrawn
3,Callable Modules,Rejected
2,Dependency specification for single-file scripts,Rejected
2,Adding a “converter” parameter to dataclasses.field,Rejected
8,Extending the Repository API to Mitigate Dependency Confusion Attacks,Rejected
4,Require virtual environments by default for package installers,Withdrawn
7,A simplified signature for __exit__ and __aexit__,Rejected
6,Reject Foolish Indentation,Rejected
5,A file format to list Python dependencies for reproducibility of an application,Rejected
0,Lazy Imports,Rejected
9,New assert statement syntax with parentheses,Rejected
5,Allow writing optional types as,Withdrawn
7,Callable Type Syntax,Rejected
3,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
0,Specifying Installer Requirements for Python Projects,Withdrawn
2,Editable installs via virtual wheels,Rejected
1,Robust Stack Overflow Handling,Rejected
7,Support for indexing with keyword arguments,Rejected
8,Extensible customizations of the interpreter at startup,Rejected
3,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
1,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
2,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
0,Unused variable syntax,Rejected
1,Forbid return/break/continue breaking out of finally,Rejected
1,Dependency specification in pyproject.toml based on PEP 508,Superseded
0,Hide implementation details from the C API,Withdrawn
1,The one million limit,Withdrawn
8,Coordinated Python release,Rejected
9,The manylinux2014 Platform Tag,Superseded
2,Structural Pattern Matching,Superseded
6,Python Compatibility Version,Rejected
5,A rolling feature release stream for CPython,Rejected
5,Unifying function/method classes,Withdrawn
8,Introducing incremental feature releases,Withdrawn
